iter	Logloss
0	0.6616064242
1	0.6331765662
2	0.607200532
3	0.5837958972
4	0.5649357198
5	0.5451711836
6	0.5274985897
7	0.510783381
8	0.4957594814
9	0.4819553722
10	0.470960629
11	0.4592885008
12	0.4491948136
13	0.4392815747
14	0.4308086019
15	0.4223881705
16	0.4151951981
17	0.407972958
18	0.4013835898
19	0.3955880113
20	0.3902235467
21	0.3854819558
22	0.3801686519
23	0.3757578702
24	0.3716015642
25	0.3680755055
26	0.3651899861
27	0.3619570656
28	0.3589828407
29	0.35597061
30	0.352582811
31	0.3495957703
32	0.3474468171
33	0.3447170136
34	0.3424695292
35	0.3402190739
36	0.338206064
37	0.3360577567
38	0.3340299898
39	0.3327181235
40	0.3313271818
41	0.3300768844
42	0.3288179521
43	0.3272823677
44	0.3255967827
45	0.3242499623
46	0.3230495352
47	0.3216303104
48	0.3208890267
49	0.3197616649
50	0.3188548023
51	0.317552603
52	0.3160652399
53	0.3153400942
54	0.3145076853
55	0.3133306279
56	0.3116846418
57	0.3106362363
58	0.3096329377
59	0.3089355328
60	0.3082313683
61	0.3074751322
62	0.3067222037
63	0.3059740243
64	0.3052098015
65	0.3045013268
66	0.3038178796
67	0.3027893548
68	0.3019964503
69	0.3013016818
70	0.3006665911
71	0.2996856315
72	0.2988506259
73	0.2984170707
74	0.2977482467
75	0.2970962268
76	0.2966403717
77	0.2957550727
78	0.2947986205
79	0.2935500777
80	0.292961264
81	0.2925140422
82	0.2920159247
83	0.2911800078
84	0.2907653999
85	0.2903767168
86	0.2898555834
87	0.2894562043
88	0.2892045884
89	0.2882664048
90	0.2877576011
91	0.2868119962
92	0.2861958002
93	0.2855938401
94	0.2851544485
95	0.2848417447
96	0.2845334506
97	0.2839660067
98	0.2836270415
99	0.2832083671
100	0.282740671
101	0.2822402546
102	0.2815110695
103	0.281072044
104	0.2807701606
105	0.2804311525
106	0.2797669263
107	0.2795038578
108	0.2790916579
109	0.2786617318
110	0.2783804105
111	0.2779990316
112	0.2774729549
113	0.2771184846
114	0.2767149012
115	0.2762892742
116	0.2760659902
117	0.2756801244
118	0.2754713494
119	0.2752117416
120	0.2747713861
121	0.2744460958
122	0.2742394682
123	0.2737849527
124	0.2734736111
125	0.2731147993
126	0.2728374354
127	0.2725995022
128	0.2722685155
129	0.2717811577
130	0.2714507316
131	0.2709868573
132	0.2707358253
133	0.270432232
134	0.2701683989
135	0.2698011006
136	0.269465813
137	0.2691874148
138	0.2689286862
139	0.2685142678
140	0.2682290077
141	0.2678630165
142	0.2672320821
143	0.2667484664
144	0.2662671562
145	0.2659816034
146	0.2656062525
147	0.2652325356
148	0.2650102096
149	0.2647756822
150	0.2645964067
151	0.2642823181
152	0.2638966922
153	0.2636747298
154	0.2633672343
155	0.2631740015
156	0.2628547966
157	0.262642207
158	0.2624418749
159	0.2620303481
160	0.2618094126
