iter	Passed	Remaining
0	219	219533
1	253	126260
2	294	97931
3	326	81201
4	356	71006
5	496	82332
6	1002	142222
7	1189	147516
8	1253	137985
9	1578	156231
10	1858	167133
11	2240	184458
12	2594	196972
13	2622	184697
14	2983	195928
15	3143	193301
16	3592	207749
17	3615	197252
18	3831	197822
19	3856	188945
20	4552	212228
21	4714	209588
22	4748	201699
23	4904	199468
24	5031	196243
25	5059	189526
26	5160	185957
27	5879	204113
28	5911	197930
29	6433	208019
30	6876	214949
31	7000	211779
32	7033	206100
33	7361	209153
34	7420	204589
35	7458	199727
36	7505	195348
37	7996	202444
38	8312	204823
39	8430	202321
40	8479	198342
41	8623	196698
42	8661	192770
43	8941	194280
44	8974	190455
45	9148	189726
46	9250	187574
47	9285	184163
48	9324	180980
49	9368	178001
50	9399	174895
51	9433	171979
52	9477	169345
53	9510	166611
54	9549	164077
55	9592	161700
56	9627	159284
57	9675	157147
58	9779	155971
59	9833	154064
60	9941	153031
61	9970	150840
62	10004	148803
63	10040	146842
64	10069	144851
65	10106	143026
66	10144	141265
67	10170	139389
68	10226	137987
69	10259	136310
70	10302	134800
71	10351	133424
72	10381	131827
73	10408	130247
74	10457	128978
75	10481	127435
76	10509	125976
77	10569	124942
78	10595	123524
79	10623	122173
80	10668	121039
81	10693	119717
82	10722	118463
83	10750	117232
84	10790	116151
85	10818	114982
86	10847	113833
87	10922	113191
88	10951	112094
89	11027	111495
90	11052	110398
91	11114	109693
92	11137	108621
93	11159	107563
94	11192	106627
95	11219	105651
96	11243	104664
97	11268	103714
98	11296	102814
99	11326	101942
100	11379	101284
101	11423	100574
102	11451	99726
103	11475	98869
104	11503	98057
105	11534	97284
106	11558	96467
107	11584	95681
108	11607	94883
109	11639	94174
110	11667	93444
111	11690	92687
112	11714	91954
113	11744	91274
114	11767	90554
115	11798	89909
116	11828	89266
117	11853	88599
118	11875	87921
119	11898	87253
120	11970	86957
121	11993	86315
122	12068	86047
123	12091	85419
124	12141	84991
125	12170	84423
126	12193	83817
127	12223	83273
128	12253	82737
129	12283	82207
130	12308	81646
131	12332	81096
132	12363	80595
133	12386	80052
134	12419	79578
135	12451	79101
136	12477	78598
137	12502	78096
138	12525	77585
139	12557	77139
140	12580	76645
141	12605	76164
142	12628	75681
143	12660	75259
144	12687	74810
145	12708	74338
146	12735	73901
147	12759	73451
148	12788	73042
149	12810	72593
150	12835	72170
151	12858	71735
152	12889	71355
153	12920	70977
154	12949	70597
155	12975	70198
156	13006	69834
157	13170	70188
